"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1317","createValidUser","Surefire suite","Fri Nov 21 22:14:25 UTC 2025","passed","Fri Nov 21 22:14:27 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createValidUser"
"","13","orderMethodsCycleDepTest","Surefire suite","Fri Nov 21 22:14:00 UTC 2025","passed","Fri Nov 21 22:14:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsCycleDepTest"
"","1","orderMethodsNoDepTest","Surefire suite","Fri Nov 21 22:14:00 UTC 2025","passed","Fri Nov 21 22:14:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsNoDepTest"
"","1","orderMethodsForkDownDepTest","Surefire suite","Fri Nov 21 22:14:00 UTC 2025","passed","Fri Nov 21 22:14:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkDownDepTest"
"","1040","getFullName","Surefire suite","Fri Nov 21 22:14:28 UTC 2025","passed","Fri Nov 21 22:14:29 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getFullName"
"","1350","createInvalidEmailTest","Surefire suite","Fri Nov 21 22:14:13 UTC 2025","passed","Fri Nov 21 22:14:14 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidEmailTest"
"","1639","createEmptyPasswordTest","Surefire suite","Fri Nov 21 22:14:09 UTC 2025","passed","Fri Nov 21 22:14:11 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createEmptyPasswordTest"
"","1321","createInvalidUserNameTest","Surefire suite","Fri Nov 21 22:14:19 UTC 2025","passed","Fri Nov 21 22:14:20 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidUserNameTest"
"","1","orderMethodsTwoDifferentGroupsDepTest","Surefire suite","Fri Nov 21 22:14:00 UTC 2025","passed","Fri Nov 21 22:14:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTwoDifferentGroupsDepTest"
"","1180","createInvalidFullUserNameTest","Surefire suite","Fri Nov 21 22:14:16 UTC 2025","passed","Fri Nov 21 22:14:17 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createInvalidFullUserNameTest"
"","587","getStatusFullName","Surefire suite","Fri Nov 21 22:14:34 UTC 2025","passed","Fri Nov 21 22:14:34 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","getStatusFullName"
"","1230","renameByDefaultAdminName","Surefire suite","Fri Nov 21 22:14:36 UTC 2025","passed","Fri Nov 21 22:14:37 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameByDefaultAdminName"
"","1374","renameFullName","Surefire suite","Fri Nov 21 22:14:31 UTC 2025","passed","Fri Nov 21 22:14:32 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","renameFullName"
"","10395","testAccessUserAccountFromHome","Surefire suite","Fri Nov 21 22:14:38 UTC 2025","broken","Fri Nov 21 22:14:49 UTC 2025","danilova.tests.UserConfigurePOMTest","Surefire test","danilova.tests.UserConfigurePOMTest","testAccessUserAccountFromHome"
"","2","orderMethodsTest","Surefire suite","Fri Nov 21 22:14:00 UTC 2025","passed","Fri Nov 21 22:14:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsTest"
"","1","orderMethodsOneGroupDepTest","Surefire suite","Fri Nov 21 22:14:00 UTC 2025","passed","Fri Nov 21 22:14:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsOneGroupDepTest"
"","2","orderMethodsForkUpDepTest","Surefire suite","Fri Nov 21 22:14:00 UTC 2025","passed","Fri Nov 21 22:14:00 UTC 2025","danilova.common.order.OrderForTestsTest","Surefire test","danilova.common.order.OrderForTestsTest","orderMethodsForkUpDepTest"
"","1255","createNotMatchedPasswordTest","Surefire suite","Fri Nov 21 22:14:22 UTC 2025","passed","Fri Nov 21 22:14:23 UTC 2025","danilova.tests.CreateUserPOMTest","Surefire test","danilova.tests.CreateUserPOMTest","createNotMatchedPasswordTest"
